filename_raw,filename_jpeg,camera,lens,iso,wb_setting,scene_type,filename_phocus_tiff,phocus_settings,illuminant,download_url,notes
3008650087.arw,5077367633.jpg,ILCE-7CR,FE 24-70mm F2.8 GM II,4000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-11-05 03:01:15, jpeg DateTimeOriginal=2023-11-05 03:01:15"
0943216262.arw,3934950809.jpg,ILCE-7CR,FE 24-70mm F2.8 GM II,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-11-05 03:16:49, jpeg DateTimeOriginal=2023-11-05 03:16:49"
9984863078.arw,5377303228.jpg,ILCE-7CR,FE 24-70mm F2.8 GM II,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-11-05 03:16:56, jpeg DateTimeOriginal=2023-11-05 03:16:56"
8517270372.arw,8424747983.jpg,ILCE-7CR,FE 24-70mm F2.8 GM II,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-11-05 03:17:24, jpeg DateTimeOriginal=2023-11-05 03:17:24"
3111366532.arw,6540825924.jpg,ILCE-7CR,FE 24-70mm F2.8 GM II,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-11-05 03:17:26, jpeg DateTimeOriginal=2023-11-05 03:17:26"
5872969500.arw,9711834961.jpg,ILCE-7CR,FE 24-70mm F2.8 GM II,125,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-11-05 03:17:37, jpeg DateTimeOriginal=2023-11-05 03:17:37"
9098859553.arw,0246469225.jpg,ILCE-7CR,FE 24-70mm F2.8 GM II,5000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-11-05 04:48:43, jpeg DateTimeOriginal=2023-11-05 04:48:43"
9918938745.arw,0420642373.jpg,ILCE-7CR,FE 24-70mm F2.8 GM II,6400,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-11-05 04:50:08, jpeg DateTimeOriginal=2023-11-05 04:50:08"
4186555521.arw,9740010679.jpg,ILCE-7CR,FE 24-70mm F2.8 GM II,5000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-11-05 04:50:31, jpeg DateTimeOriginal=2023-11-05 04:50:31"
7145394039.arw,9472316922.jpg,ILCE-7CR,FE 24-70mm F2.8 GM II,1000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-11-05 04:51:09, jpeg DateTimeOriginal=2023-11-05 04:51:09"
