filename_raw,filename_jpeg,camera,lens,iso,wb_setting,scene_type,filename_phocus_tiff,phocus_settings,illuminant,download_url,notes
4999743828.cr3,3316029874.jpg,Canon EOS R1,RF24-70mm F2.8 L IS USM,12800,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 23:13:47, jpeg DateTimeOriginal=2024-06-27 23:13:47"
0452543042.cr3,4373036199.jpg,Canon EOS R1,RF70-200mm F2.8 L IS USM Z,3200,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-04-05 19:18:08, jpeg DateTimeOriginal=2025-04-05 19:18:08, 주의: 동률 후보 있음(다른 raw/jpeg도 같은 비용으로 매칭 가능했음 - 전역 최적 배정이 임의로 하나를 골랐으니 수동 확인 권장)"
0560296097.cr3,3214634625.jpg,Canon EOS R1,RF70-200mm F2.8 L IS USM Z,3200,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-04-05 19:18:08, jpeg DateTimeOriginal=2025-04-05 19:18:08, 주의: 동률 후보 있음(다른 raw/jpeg도 같은 비용으로 매칭 가능했음 - 전역 최적 배정이 임의로 하나를 골랐으니 수동 확인 권장)"
3414856412.cr3,1691452912.jpg,Canon EOS R1,RF70-200mm F2.8 L IS USM Z,3200,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-04-05 19:18:08, jpeg DateTimeOriginal=2025-04-05 19:18:08, 주의: 동률 후보 있음(다른 raw/jpeg도 같은 비용으로 매칭 가능했음 - 전역 최적 배정이 임의로 하나를 골랐으니 수동 확인 권장)"
6542105929.cr3,1820116380.jpg,Canon EOS R1,RF70-200mm F2.8 L IS USM Z,3200,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-04-05 19:18:08, jpeg DateTimeOriginal=2025-04-05 19:18:08, 주의: 동률 후보 있음(다른 raw/jpeg도 같은 비용으로 매칭 가능했음 - 전역 최적 배정이 임의로 하나를 골랐으니 수동 확인 권장)"
6619533266.cr3,6334881176.jpg,Canon EOS R1,RF70-200mm F2.8 L IS USM Z,3200,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-04-05 19:18:08, jpeg DateTimeOriginal=2025-04-05 19:18:08, 주의: 동률 후보 있음(다른 raw/jpeg도 같은 비용으로 매칭 가능했음 - 전역 최적 배정이 임의로 하나를 골랐으니 수동 확인 권장)"
7542089628.cr3,0944236314.jpg,Canon EOS R1,RF70-200mm F2.8 L IS USM Z,3200,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-04-05 19:18:08, jpeg DateTimeOriginal=2025-04-05 19:18:08, 주의: 동률 후보 있음(다른 raw/jpeg도 같은 비용으로 매칭 가능했음 - 전역 최적 배정이 임의로 하나를 골랐으니 수동 확인 권장)"
8783035615.cr3,5732826358.jpg,Canon EOS R1,RF70-200mm F2.8 L IS USM Z,3200,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-04-05 19:18:08, jpeg DateTimeOriginal=2025-04-05 19:18:08, 주의: 동률 후보 있음(다른 raw/jpeg도 같은 비용으로 매칭 가능했음 - 전역 최적 배정이 임의로 하나를 골랐으니 수동 확인 권장)"
7109775912.cr3,5208040331.jpg,Canon EOS R6 Mark III,RF28-70mm F2 L USM,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-13 18:07:30, jpeg DateTimeOriginal=2025-10-13 18:07:30"
3531010452.cr3,1468216231.jpg,Canon EOS R6 Mark III,RF28-70mm F2 L USM,1000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-13 18:11:44, jpeg DateTimeOriginal=2025-10-13 18:11:44"
4102422307.cr3,1184346117.jpg,Canon EOS R6 Mark III,RF28-70mm F2 L USM,8000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-13 18:12:59, jpeg DateTimeOriginal=2025-10-13 18:12:59"
4885762720.cr3,2337978584.jpg,Canon EOS R6 Mark III,RF28-70mm F2 L USM,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-13 18:16:14, jpeg DateTimeOriginal=2025-10-13 18:16:14"
8356367220.cr3,9991317836.jpg,Canon EOS R6 Mark III,RF28-70mm F2 L USM,500,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-13 18:44:15, jpeg DateTimeOriginal=2025-10-13 18:44:15"
1395149135.cr3,7913467737.jpg,Canon EOS R6 Mark III,RF28-70mm F2 L USM,1600,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-13 18:47:21, jpeg DateTimeOriginal=2025-10-13 18:47:21"
2516438592.cr3,4366290282.jpg,Canon EOS R6 Mark III,RF28-70mm F2 L USM,800,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-13 18:49:40, jpeg DateTimeOriginal=2025-10-13 18:49:40"
9522728426.cr3,0342981531.jpg,Canon EOS R6 Mark III,RF28-70mm F2 L USM,400,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-13 18:53:16, jpeg DateTimeOriginal=2025-10-13 18:53:16"
8153398483.cr3,0977795265.jpg,Canon EOS R6 Mark III,RF28-70mm F2 L USM,3200,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-13 18:56:09, jpeg DateTimeOriginal=2025-10-13 18:56:09"
2810089209.cr3,4850974522.jpg,Canon EOS R6 Mark III,RF28-70mm F2 L USM,5000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-14 19:23:37, jpeg DateTimeOriginal=2025-10-14 19:23:37"
8225852960.cr3,1532836019.jpg,Canon EOS R6 Mark III,RF28-70mm F2 L USM,800,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-14 19:26:01, jpeg DateTimeOriginal=2025-10-14 19:26:01"
5471418618.cr3,3674440265.jpg,Canon EOS R6 Mark III,RF28-70mm F2 L USM,6400,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-14 19:42:13, jpeg DateTimeOriginal=2025-10-14 19:42:13"
0010172647.cr3,8487596167.jpg,Canon EOS R6 Mark III,RF28-70mm F2 L USM,8000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-14 19:44:57, jpeg DateTimeOriginal=2025-10-14 19:44:57"
0099982267.cr3,7521033399.jpg,Canon EOS R6 Mark III,RF24-70mm F2.8 L IS USM,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-16 13:36:35, jpeg DateTimeOriginal=2025-10-16 13:36:35"
8155758900.cr3,0865485082.jpg,Canon EOS R6 Mark III,RF24-70mm F2.8 L IS USM,640,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-16 18:22:29, jpeg DateTimeOriginal=2025-10-16 18:22:29"
2720074608.cr3,9979972716.jpg,Canon EOS R6 Mark III,RF24-70mm F2.8 L IS USM,1600,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-16 18:25:06, jpeg DateTimeOriginal=2025-10-16 18:25:06"
2040395089.cr3,1948668535.jpg,Canon EOS R6 Mark III,RF24-70mm F2.8 L IS USM,1600,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-16 19:25:19, jpeg DateTimeOriginal=2025-10-16 19:25:19"
2535492125.cr3,3332144651.jpg,Canon EOS R6 Mark III,RF24-70mm F2.8 L IS USM,3200,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-16 20:45:58, jpeg DateTimeOriginal=2025-10-16 20:45:58"
8688916170.cr3,9728222686.jpg,Canon EOS R6 Mark III,RF24-70mm F2.8 L IS USM,400,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-17 08:21:35, jpeg DateTimeOriginal=2025-10-17 08:21:35"
2056138485.cr3,8842146877.jpg,Canon EOS R6 Mark III,RF24-70mm F2.8 L IS USM,160,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-17 08:26:01, jpeg DateTimeOriginal=2025-10-17 08:26:01"
7819859665.cr3,0826137393.jpg,Canon EOS R6 Mark III,RF85mm F1.4 L VCM,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-21 17:10:50, jpeg DateTimeOriginal=2025-10-21 17:10:50"
0729768274.cr3,7946559931.jpg,Canon EOS R6 Mark III,RF85mm F1.4 L VCM,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-21 17:14:02, jpeg DateTimeOriginal=2025-10-21 17:14:02"
4468532825.cr3,2996317663.jpg,Canon EOS R6 Mark III,RF85mm F1.4 L VCM,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-21 17:14:41, jpeg DateTimeOriginal=2025-10-21 17:14:41"
5949413528.cr3,5918054668.jpg,Canon EOS R6 Mark III,RF85mm F1.4 L VCM,500,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-21 17:28:05, jpeg DateTimeOriginal=2025-10-21 17:28:05"
5113111617.cr3,5287031456.jpg,Canon EOS R6 Mark III,RF85mm F1.4 L VCM,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-21 17:33:35, jpeg DateTimeOriginal=2025-10-21 17:33:35"
3820414667.cr3,0746166910.jpg,Canon EOS R6 Mark III,RF85mm F1.4 L VCM,3200,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-21 17:36:29, jpeg DateTimeOriginal=2025-10-21 17:36:29"
4119891230.cr3,4672424770.jpg,Canon EOS R6 Mark III,RF85mm F1.4 L VCM,5000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2025-10-21 17:41:00, jpeg DateTimeOriginal=2025-10-21 17:41:00"
