filename_raw,filename_jpeg,camera,lens,iso,wb_setting,scene_type,filename_phocus_tiff,phocus_settings,illuminant,download_url,notes
6997681186.dng,3147389255.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,2500,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-03-02 11:07:27, jpeg DateTimeOriginal=2017-03-02 11:07:27"
7823733799.dng,4902888831.jpg,LEICA M10,Summilux-M 1:1.4/50,200,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-03-03 01:01:47, jpeg DateTimeOriginal=2017-03-03 01:01:47"
9242223173.dng,0415160181.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-03-03 01:58:46, jpeg DateTimeOriginal=2017-03-03 01:58:46"
0983848590.dng,8007852665.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,200,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-03-03 04:55:37, jpeg DateTimeOriginal=2017-03-03 04:55:37"
6100168192.dng,7439321381.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,5000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-03-03 05:01:40, jpeg DateTimeOriginal=2017-03-03 05:01:40"
9028012704.dng,8303477034.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,1600,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-03-03 05:20:30, jpeg DateTimeOriginal=2017-03-03 05:20:30"
9918158684.dng,6472457772.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,4000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-03-03 05:21:24, jpeg DateTimeOriginal=2017-03-03 05:21:24"
5484081482.dng,9710536839.jpg,LEICA M10,Summicron-M 1:2/35,800,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-03-03 08:39:47, jpeg DateTimeOriginal=2017-03-03 08:39:47"
1987955982.dng,2541481639.jpg,LEICA SL2,45mm F2.8 DG DN | Contemporary 019,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-10-30 14:28:31, jpeg DateTimeOriginal=2019-10-30 14:28:31"
2831849999.dng,7562544818.jpg,LEICA SL2,45mm F2.8 DG DN | Contemporary 019,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-10-30 14:34:45, jpeg DateTimeOriginal=2019-10-30 14:34:45"
6441286160.dng,5941080325.jpg,LEICA SL2,45mm F2.8 DG DN | Contemporary 019,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-10-30 14:35:04, jpeg DateTimeOriginal=2019-10-30 14:35:04"
6015823356.dng,0907733832.jpg,LEICA SL2,45mm F2.8 DG DN | Contemporary 019,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-10-30 14:37:58, jpeg DateTimeOriginal=2019-10-30 14:37:58"
9194212365.dng,3009541024.jpg,LEICA SL2,45mm F2.8 DG DN | Contemporary 019,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-10-30 14:38:04, jpeg DateTimeOriginal=2019-10-30 14:38:04"
4022947929.dng,6788045990.jpg,LEICA SL2,45mm F2.8 DG DN | Contemporary 019,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-10-30 14:45:25, jpeg DateTimeOriginal=2019-10-30 14:45:25"
4667833757.dng,9294587235.jpg,LEICA SL2,45mm F2.8 DG DN | Contemporary 019,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-10-30 14:46:42, jpeg DateTimeOriginal=2019-10-30 14:46:42"
8747917754.dng,0089140856.jpg,LEICA SL2,45mm F2.8 DG DN | Contemporary 019,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-10-30 14:49:13, jpeg DateTimeOriginal=2019-10-30 14:49:13"
2232589321.dng,8207883919.jpg,LEICA SL2,45mm F2.8 DG DN | Contemporary 019,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-10-30 14:54:17, jpeg DateTimeOriginal=2019-10-30 14:54:17"
0449449438.dng,6528486971.jpg,LEICA SL2,45mm F2.8 DG DN | Contemporary 019,6400,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-10-30 19:10:01, jpeg DateTimeOriginal=2019-10-30 19:10:01"
3345585168.dng,8750532403.jpg,LEICA SL2,45mm F2.8 DG DN | Contemporary 019,12500,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-10-30 19:13:17, jpeg DateTimeOriginal=2019-10-30 19:13:17"
4708080348.dng,7711716454.jpg,LEICA SL2,VARIO-ELMARIT-SL 1:2.8-4/24-90 ASPH.,6400,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-11-02 16:00:54, jpeg DateTimeOriginal=2019-11-02 16:00:54"
